abstract,Rouge1-F1,Rouge2-F1,RougeL-F1,RougeLSum-F1,METEOR_Final
" 
 background . 
 the japan thyroid association recently published guidelines for clinical practice for the management of thyroid nodules , which include a diagnostic system for reporting thyroid fine needle aspiration cytology . 
 it is characterized by the subclassification of follicular neoplasms , which is different from other internationally accepted reporting systems . 
 materials and methods . 
 this study examined observer variability in the subclassification of follicular neoplasms among 4 reviewers using papanicolaou - stained smear samples from 20 surgically treated patients with indeterminate cytology . 
 results . 
 the favor malignant subcategory had high predictive value of malignancy ( risk of malignancy : 6075% ) and good agreement among the 4 reviewers (  = 0.7714 ) . 
 conclusion . 
 these results clearly confirmed that the risk stratification of follicular neoplasms , which was adapted from cytology practice of high - volume thyroid centers in japan , can provide clinically helpful information to estimate the risk of malignancy and to triage patients for surgery . ",0.4762,0.2181,0.2328,0.3915,0.4264
" background : bleeding symptoms commonly seen by multiple physician specialties may belie undiagnosed congenital or acquired bleeding disorders . acquired hemophilia is a potentially life - threatening cause of unexplained acute bleeding manifested by an abnormal activated partial thromboplastin time ( aptt ) that does not correct with 1:1 mixing with normal plasma.methods:practicing physicians ( hematology / oncology , emergency medicine , geriatrics , internal medicine , rheumatology , obstetrics and gynecology , critical care medicine , and general surgery ) completed an online survey based on a hypothetical case scenario.results:excluding surgeons and obstetrician / gynecologist respondents , 302 physicians ( about 50 per specialty ) were presented with an older adult woman complaining of recurrent epistaxis . 
 nearly 90% ordered a complete blood count and coagulation studies ( aptt , prothrombin time [ pt]/international normalized ratio [ inr ] ) . despite a prolonged aptt of 42 seconds , 
 < 50% of nonhematologists would repeat the aptt , and < 45% would consult a hematologist ; emergency medicine physicians were least likely ( 10% ) and rheumatologists were most likely ( 43% ) to consult . 
 after presentation weeks later with bruising and abdominal / back pain , 90% of physicians within each specialty ordered a complete blood count or pt / inr / aptt . despite an aptt of 63 seconds 
 , the majority did not repeat the aptt . at this point , 
 approximately 75% of internal medicine and geriatric physicians indicated they would consult a hematologist , versus 47% in emergency medicine and 50% in critical care . 
 all participants preferred abdominal computed tomography ( 80%84% ) . 
 after 12 hours of additional observation , 73% to 94% of respondents consulted a hematologist . 
 complete blood count revealed anemia and an aptt twice the upper limit of normal ; emergency medicine physicians remained least likely to request a consult.conclusion:determining the cause of an abnormal coagulation study result should carry equal weight as looking for the site of bleeding and could be facilitated by consultation with a hematologist . 
 insight from this survey highlights knowledge and practice gaps that could be the target of focused educational initiatives . ",0.4031,0.1518,0.2132,0.3488,0.2325
" plant cell walls provide structural support during development and represent together with the cuticle the first line of defense against biotic and abiotic stress . in recent years , evidence has accumulated that a dedicated plant cell wall integrity ( cwi ) maintenance mechanism exists . this mechanism monitors and maintains functional integrity of the cell wall during different biological processes . 
 the available data suggest that it may represent a component of the stress response mechanisms underlying biotic and abiotic stress responses , which has not been identified previously as a distinct mechanism . here 
 i will review the available evidence regarding the mode of action of the cwi maintenance mechanism and discuss its role in the context of biotic plant stress response mechanisms . ",0.3647,0.142,0.1882,0.2941,0.3006
" to gain insight into the differential mechanism of gene promoter hypermethylation in acute and chronic leukemia , we identified the methylation status on one part of 5'cpg rich region of 8 genes , dab2ip , dlc-1 , h - cadherin , id4 , integrin 4 , runx3 , sfrp1 , and shp1 in bone marrows from acute myeloid leukemia ( aml ) and chronic myeloid leukemia ( cml ) patients . also , we compared the methylation status of genes in aml and cml using methylation - specific pcr ( msp ) . 
 the frequencies of dna methylation of id4 , sfrp1 , and shp1 were higher in aml patients compared to those in cml patients . in contrast , no statistical difference between aml and cml was detected for other genes such as dlc-1 , dab2ip , h - cadherin , integrin 4 , and runx3 . 
 taken together , these results suggest that these methylation - controlled genes may have different roles in aml and cml , and thus , may act as a biological marker of aml . ",0.4131,0.1013,0.1965,0.267,0.3526
" introduction : acute patellar dislocation is a common injury usually associated with a significant traumatic mechanism resulting in lateral displacement . vertical axis rotation following dislocation is a rare variant of this type of injury and can prevent closed reduction in the acute setting.case presentation : a 32-year old gentleman presented with an irreducible patella dislocation following an unusual atraumatic mechanism . 
 following attempts at closed reduction under sedation and regional nerve block , eventual open reduction and soft tissue reconstruction was required under general anesthetic . during the open reduction procedure , 
 it was noted that the patella had dislocated into a lateral extra - articular position and rotated around its vertical axis . 
 following patella reduction , the medial patellar retinaculum was repaired . 
 examination under anesthetic revealed satisfactory tracking of patella following repair.conclusion:a review of the literature suggests dislocations such as the current presentation , are extremely rare and although have been described to occur with minor trauma , have never been described to occur following a largely atraumatic event . in such cases , 
 closed reduction may be impossible even with adequate analgesia due to patella position and soft tissue obstruction . 
 open reduction is essential in these situations . ",0.5192,0.2774,0.3141,0.4744,0.308
" a facile one - step microwave - assisted chemical method has been successfully used for the synthesis of cu2o / reduced graphene oxide ( rgo ) composites . 
 photocatalytic co2 reduction was then investigated on the junction under ambient conditions . 
 the rgo coating dramatically increases cu2o activity for co2 photoreduction to result in a nearly six times higher activity than the optimized cu2o and 50 times higher activity than the cu2o / ruox junction in the 20th hour . 
 furthermore , an apparent initial quantum yield of approximately 0.34 % at 400 nm has been achieved by the cu2o / rgo junction for co2 photoreduction . 
 the photocurrent of the junction is nearly double that of the blank cu2o photocathode . 
 the improved activity together with the enhanced stability of cu2o is attributed to the efficient charge separation and transfer to rgo as well as the protection function of rgo , which was proved by xrd , sem , tem , x - ray photoelectron spectroscopy , photo - electrochemical , photoluminescence , and impedance characterizations . 
 this study further presents useful information for other photocatalyst modification for efficient co2 reduction without the need for a noble - metal co - catalyst . ",0.3056,0.0647,0.1662,0.2735,0.2138
" the aim of this study was to assess the possibility of digital image analysis of pit - and - fissure discoloration in order to diagnose caries . 
 digital images showing pit - and - fissure discoloration in 100 teeth of 19 patients were analyzed to obtain the fractal dimension ( fd ) and the proportion of the area of pit - and - fissure discoloration to the area of occlusal surface ( pa ) . 
 diagnodent values were measured ( dd ) , and dentists ' diagnoses were also obtained . the sensitivity and specificity of fd , pa , dd , and the combination of fd and pa compared to the dentists ' diagnoses were calculated . 
 the sensitivities of fd , pa , dd , and the combination of fd and pa were 0.89 , 0.47 , 0.69 , and 0.86 , respectively , and the specificities were 0.84 , 0.95 , 0.91 , and 0.86 , respectively . 
 although further research is needed for the practical use , it is possible to use the analysis of digital images of pit - and - fissure molar discoloration as a diagnostic tool . ",0.3987,0.1359,0.283,0.3666,0.2879
" median cleft is the midline cleft of the lip . 
 it develops due to incomplete or failed fusion of the median nasal prominence . 
 it can present with minimal deformities such as involvement of the vermilion border , or complex clefting of the midline structures and brain . 
 median clefts are broadly classified as true and false clefts . 
 this case report describes a rare case of median cleft of the upper lip involving the white roll , which was not associated with any other deformities . 
 treatment included reconstruction of the philtrum and the cupid 's bow while maintaining vermilion fullness and continuity , and minimizing scar formation . 
 various techniques have been advocated for treatment of this type of median upper lip cleft . here 
 we describe a technique using pfeifer incision to correct our patient 's defect . 
 pfeifer incision consists of wavy lines and its use has been advocated for correction of various craniofacial abnormalities . ",0.375,0.1351,0.1964,0.3214,0.1992
" background : pseudomonas aeruginosa is a well - known opportunistic pathogen , which affects hospitalized patients in different wards due to its natural resistance to drugs.objectives:the purpose of the current study was to determine the antibiotic susceptibility profiles and genetic relatedness in p. aeruginosa isolated from patients admitted to a referral hospital in isfahan , iran.materials and methods : out of 150 analyzed samples , 54 p. aeruginosa isolates were recovered and were subjected to antibiotic resistance patterns and genetic diversity determination by kirby - bauer s disk diffusion method and rapd - pcr , respectively.results:the highest percentage of resistance was observed against ceftazidime and imipenem with 30 ( 55.6% ) isolates ; meanwhile all isolates were sensitive to polymyxin b. twenty - eight ( 51.8% ) isolates revealed resistance to all applied antibiotics . 
 rapd - pcr ( random amplified polymorphic dna- polymerase chain reaction ) results showed 54 unique genotypes , which were divided into 39 clusters.conclusions:although different source of p. aeruginosa may involve in patient colonization , genetically related strains were isolated from different wards and or the same ward of the hospital . 
 our results pointed to the restriction of currently used antibiotics in studied hospital . 
 we hope that our results cast light on the control and transmission of the infection in the investigated hospital . ",0.3622,0.1006,0.1696,0.2736,0.2762
" many 
 of the reported arginine - rich cell - penetrating peptides ( cpps ) 
 for the enhanced delivery of drugs are linear peptides composed of 
 more than seven arginine residues to retain the cell penetration properties . 
 herein , we synthesized a class of nine polyarginine peptides containing 
 5 and 6 arginines , namely , r5 and r6 . 
 we further 
 explored the effect of acylation with long chain fatty acids ( i.e. , 
 octanoic acid , dodecanoic acid , and hexadecanoic acid ) and cyclization 
 on the cell penetrating properties of the peptides . 
 the fluorescence - labeled 
 acylated cyclic peptide dodecanoyl-[r5 ] and linear peptide 
 dodecanoyl-(r5 ) showed approximately 13.7- and 10.2-fold 
 higher cellular uptake than that of control 5,6-carboxyfluorescein , 
 respectively . 
 the mechanism of the peptide internalization into cells 
 was found to be energy - dependent endocytosis . 
 dodecanoyl-[r5 ] and dodecanoyl-[r6 ] enhanced the intracellular uptake 
 of a fluorescence - labeled cell - impermeable negatively charged phosphopeptide 
 ( f-gpyeei ) in human ovarian cancer cells ( sk - ov-3 ) by 3.4-fold 
 and 5.5-fold , respectively , as shown by flow cytometry 
 . the cellular 
 uptake of f-gpyeei in the presence of hexadecanoyl-[r5 ] was 9.3- and 6.0-fold higher than that in the presence of 
 octanoyl-[r5 ] and dodecanoyl-[r5 ] , respectively . 
 
 dodecanoyl-[r5 ] enhanced the cellular uptake of the phosphopeptide 
 by 1.42.5-fold higher than the corresponding linear peptide 
 dodecanoyl-(r5 ) and those of representative cpps , such 
 as hepta - arginine ( cr7 ) and tat peptide . 
 these results 
 showed that a combination of acylation by long chain fatty acids and 
 cyclization on short arginine - containing peptides can improve their 
 cell - penetrating property , possibly through efficient interaction 
 of rigid positively charged r and hydrophobic dodecanoyl moiety with 
 the corresponding residues in the cell membrane phospholipids . ",0.3272,0.1167,0.1953,0.3166,0.155
" 
 objective . to develop and validate a risk score for detecting cases of undiagnosed diabetes in a resource - constrained country . 
 methods . two population - based studies in peruvian population aged 35 years were used in the analysis : the eninbsc survey ( n = 2,472 ) and the cronicas cohort study ( n = 2,945 ) . fasting plasma glucose 7.0  mmol / l was used to diagnose diabetes in both studies . 
 coefficients for risk score were derived from the eninbsc data and then the performance was validated using both baseline and follow - up data of the cronicas cohort study . results . 
 the prevalence of undiagnosed diabetes was 2.0% in the eninbsc survey and 2.9% in the cronicas cohort study . 
 predictors of undiagnosed diabetes were age , diabetes in first - degree relatives , and waist circumference . 
 score values ranged from 0 to 4 , with an optimal cutoff 2 and had a moderate performance when applied in the cronicas baseline data ( auc = 0.68 ; 95% ci : 0.620.73 ; sensitivity 70% ; specificity 59% ) . 
 when predicting incident cases , the auc was 0.66 ( 95% ci : 0.610.71 ) , with a sensitivity of 69% and specificity of 59% . conclusions . a simple nonblood based risk score based on age , diabetes in first - degree relatives , and waist circumference can be used as a simple screening tool for undiagnosed and incident cases of diabetes in peru . ",0.432,0.1085,0.1987,0.3844,0.2819
" background and aimssirnas represent an encouraging novel alternative in cancer therapy as a result of targeting the mutated tumour suppressor genes or activated oncogenes . 
 targeting oncogenic signals , as the mutated p53 gene that gains oncogenic role , we observed inhibition of migration , a downregulation of specific genes involved in apoptosis but also in angiogenesis , connected with a reduction in invasion rate in the case of p53sirna therapy.methodsthe study was designed to assess the role of p53 by using rnai ( rna interference ) in hela in vitro cell culture model . therefore cell migration rate was assessed by using xcelligence systems , gene expression for a panel of genes involved in apoptosis and angiogenesis , and validation of gene expression data at protein level.resultson the selected in vitro model p53 sirna therapy was correlated with the reduction of cell migration . 
 the downregulation of p53 , pten , tnf , nfkb , bcl-2 , icam-2 , vegf , and fgfb was evidenced as response to p53 inhibition.conclusionrnai may be a valuable technology in order to restore the normal cellular phenotype . 
 the results in the current research may also have an important significance outside the context of cervical cancer , by using specific inhibitors for p53 for increasing the therapeutic response in a wide range of tumoral pathology . ",0.3978,0.0932,0.2016,0.3215,0.2454
" background : atherosclerosis is a coronary heart disease , andis the most common cause of death in the industrialized world . 
 some studies suggested that atherosclerosis may be triggered by infectious agents , mostly chlamydophila pneumoniae . 
 however , the role of c. pneumoniae in the pathogenesis of coronary atherosclerosis is still controversial.objectives:this study was performed to evaluate whether there is a significant association between coronary artery atherosclerosis and c. pneumoniae by the polymerase chain reaction ( pcr ) method.materials and methods : this case - control study was carried out on formalin - fixed paraffin - embedded tissue biopsies of the coronary arteries obtained from 30 patients with coronary atherosclerosis and 30 subjects without atherosclerosis living in northeast of iran . 
 all subjects ' weight and height were determined , and the body mass index was calculated . 
 we also reviewed the medical history and previous laboratory reports of patients . 
 deoxyribonucleic acid ( dna ) was extracted , and c. pneumonia dna was amplified and detected using pcr assay.results:the age of the patients in the study group was from 18 to 50 years , and the male to female ratio was 5:1 . only oneout of the 30 coronary tissue samples had positive pcr for c. pneumoniae ( 3.3% ) , while it was negative for patients in the control group.conclusions:this study showed that c. pneumoniae infection is not strongly associated with coronary artery atherosclerosis in northeast of iran . ",0.4633,0.1244,0.1835,0.344,0.2871
" background : confrontation with the consequences of diabetes causes a crisis in physical , mental , and spiritual dimensions . 
 sometimes the spiritual crisis can be tremendous . 
 since spiritual health coordinates different aspects of human life , this study aimed to identify the spiritual health of patients with defects caused by diabetes.materials and methods : this was a qualitative - phenomenological and descriptive study and the participants were selected from rehabilitation centers in isfahan and valiasr hospital in zanjan . 
 a purposive sample of 15 participants underwent deep interviews . 
 colaizzi s method of analysis was used to analyze the data.findings:outcome of this phase of the study was 173 codes and 2 groups that included hindering factors in spiritual health and the promotion of the relation with god . 
 the concepts that patients had experienced as hindering factors of the treatment process were disappointment and hopelessness , guilt , feeling distant from god , quitting obligatory acts and knowing god as cruel . 
 the concepts that patients had experienced as contributing factors to the healing process were resorting to imams , god s ordering the disease as a reward , fear of god s punishment , believing in miracles , being closer to god , believing in the mercy of god , returning to religious practice , feeling of enjoying life and knowing that the disease is the atonement of sins.conclusions:with regard to the importance of spiritual and religious care as one of the tasks of nurses , as the key members of health team , they should respect the patients beliefs and values in addition to considering their physical and mental conditions . ",0.5789,0.4087,0.4641,0.5215,0.3598
" to study the effect of puberty on the relationship between serum 25-hydroxyvitamin d ( 25(oh)d ) and parameters of insulin kinetics in obese asian - indian children . 
 material and methods . 
 the study population included 62 obese asian - indian children and adolescents in the age group of 617 years . 
 blood glucose , serum insulin , and serum 25(oh)d were measured . 
 total body fat was measured by dual energy x - ray absorptiometry . 
 indices of insulin resistance ( homa - ir , auc for insulin ) and sensitivity ( wbisi ) were calculated after oral glucose tolerance test . result . 
 a total of 62 subjects ( 35 boys ; mean age = 13.0  3 years ; bmi = 29.3  4.8  kg / sq  m ; 19 subjects in tanner stage 1 , 11 in stage 2 , 6 in stage 3 , 3 in stage 4 , and 23 subjects in tanner stage 5 ) were studied . 
 all study subjects were vitamin d deficient with a mean serum 25(oh)d of 8.5  4.2  ng / ml . no significant relationship was observed between serum 25(oh)d and parameters of insulin kinetics in prepubertal children . 
 however , a significant inverse correlation was seen between serum 25(oh)d and homair ( r = 0.41 , p = 0.03 ) in postpubertal subjects . 
 conclusion . 
 the relationship between vitamin d status and parameters of insulin kinetics are affected by puberty . ",0.4959,0.2033,0.2397,0.4256,0.3352
" post - tonsillectomy hemorrhage ( pth ) is the most frequent complication of tonsillectomy , and occasionally results in a lethal outcome . 
 a 21-year - old man ( height 180 cm , weight 95 kg ) was scheduled for a bilateral tonsillectomy and uvulopalatopharyngoplasty for treatment of obstructive sleep apnea . 
 he required 5 rounds of general anesthesia due to recurrent pth . 
 the anesthesiologist used sugammadex a total of 3 times to achieve the successful reversal of the deep neuromuscular blockade ( nmb ) induced by rocuronium . 
 after sugammadex 2 mg / kg was administered , the nmb was reversed in 2 minutes each time . 
 re - administration of rocuronium within a short time interval after sugammadex may result in unpredictable effects of neuromuscular blocking agents . 
 sugammadex made it possible to perform a rapid , complete reverse when the residual block was maintained by an incomplete reversal of anticholinesterase . ",0.3488,0.0469,0.1628,0.3178,0.2488
" human reproduction is a relatively inefficient process and therefore the number of infertile couples is high . 
 assisted reproductive technologies ( art ) have facilitated the birth of over five million children worldwide . 
 art , however , superimposes its own relative inefficiency on the preexisting inefficiency of normal reproduction . 
 the efficiency ( expressed as pregnancy rate ) is generally not more than 30% . 
 modern reproductive medicine is gradually moving from multiple embryo transfer to the transfer of a single embryo , mainly because of obvious and unwanted side effects of multiple embryo transfer ( e.g.  epidemic  multiple pregnancies ) . 
 this concept , however , requires a fast , professional selection of the most viable embryo during the first few days of art . 
 thus the aim of a modern art is the safe transfer of a healthy , viable , single embryo . 
 accurate and rapid methods of quantifying embryo viability are needed to reach this goal . 
 methodological advances have the potential to make an important contribution , and there has been a drive to develop alternative non - invasive methods to better meet clinical needs . 
 metabolic and genetic profiling of spent embryo culture ( sec ) media should offer an exceptional opportunity for the assessment of embryo viability . 
 the current review focuses on the latest non - invasive diagnostic approaches for pre - implantation viability assessment of in vitro fertilized embryos . ",0.3843,0.0884,0.1667,0.3194,0.2864
" objectivevitamin d deficiency is thought to be a risk factor for development of type 2 diabetes , and elderly subjects at northern latitudes may therefore be at particular risk.research design and methodsvitamin d status was assessed from serum concentrations of 25-hydroxyvitamin d3 [ 25(oh)d3 ] in 668 faroese residents aged 7074 years ( 64% of eligible population ) . 
 we determined type 2 diabetes prevalence from past medical histories , fasting plasma concentrations of glucose , and/or glycosylated hemoglobin ( hba1c).resultswe observed 70 ( 11% ) new type 2 diabetic subjects , whereas 88 ( 13% ) were previously diagnosed . having vitamin d status 
 < 50 nmol / l doubled the risk of newly diagnosed type 2 diabetes after adjustment for bmi , sex , exposure to polychlorinated biphenyls , serum triacylglyceride concentration , serum hdl concentration , smoking status , and month of blood sampling . 
 furthermore , the hba1c concentration decreased at higher serum 25(oh)d3 concentrations independent of covariates.conclusionsin elderly subjects , vitamin d sufficiency may provide protection against type 2 diabetes . because the study is cross - sectional , 
 intervention studies are needed to elucidate whether vitamin d could be used to prevent development of type 2 diabetes . ",0.3982,0.1455,0.1946,0.3439,0.3229
" by broad literature survey , we have developed a leaf senescence database ( lsd , http://www.eplantsenescence.org/ ) that contains a total of 1145 senescence associated genes ( sags ) from 21 species . 
 these sags were retrieved based on genetic , genomic , proteomic , physiological or other experimental evidence , and were classified into different categories according to their functions in leaf senescence or morphological phenotypes when mutated . 
 we made extensive annotations for these sags by both manual and computational approaches , and users can either browse or search the database to obtain information including literatures , mutants , phenotypes , expression profiles , mirna interactions , orthologs in other plants and cross links to other databases . 
 we have also integrated a bioinformatics analysis platform weblab into lsd , which allows users to perform extensive sequence analysis of their interested sags . 
 the sag sequences in lsd can also be downloaded readily for bulk analysis . 
 we believe that the lsd contains the largest number of sags to date and represents the most comprehensive and informative plant senescence - related database , which would facilitate the systems biology research and comparative studies on plant aging . ",0.3861,0.1024,0.1877,0.3432,0.2871
" objective  individuals with type 1 diabetes have decreased bone mineral density ( bmd ) , yet the natural history and pathogenesis of osteopenia are unclear . 
 we have previously shown that women with type 1 diabetes ( aged 1335 years ) have lower bmd than community age - matched nondiabetic control subjects . 
 we here report 2-year follow - up bmd data in this cohort to determine the natural history of bmd in young women with and without diabetes.research design and methods  bmd was measured by dual - energy x - ray absorptiometry at baseline and 2 years later in 63 women with type 1 diabetes and in 85 age - matched community control subjects . 
 a1c , igf-1 , igf binding protein-3 , serum osteocalcin , and urine n - teleopeptide were measured at follow-up.resultsafter adjusting for age , bmi , and oral contraceptive use , bmd at year 2 continued to be lower in women 20 years of age with type 1 diabetes compared with control subjects at the total hip , femoral neck , and whole body . 
 lower bmd values were observed in cases < 20 years of age compared with control subjects ; however , the differences were not statistically significant . 
 lower bmd did not correlate with diabetes control , growth factors , or metabolic bone markers.conclusionsthis study confirms our previous findings that young women with type 1 diabetes have lower bmd than control subjects and that these differences persist over time , particularly in women 20 years of age . 
 persistence of low bmd as well as failure to accrue bone density after age 20 years may contribute to the increased incidence of osteoporotic hip fractures seen in postmenopausal women with type 1 diabetes . ",0.4601,0.1832,0.2281,0.384,0.2886
" objectives : the objective of this study was to assess the effect of new bonding techniques on enamel surface.materials and methods : sixty upper central incisors were randomly divided into two equal groups . in the first group , 
 metal brackets were bonded using transbondxt and , in the second group , the same brackets were bonded with maxcem elite . the shear bond strength ( sbs ) of both agents to enamel was measured and the number and length of enamel cracks before bonding , after debonding and after polishing were compared . 
 the number of visible cracks and the adhesive remnant index ( ari ) scores in each group were also measured.results:there were significantly more enamel cracks in the transbond xt group after debonding and polishing compared to the maxcem elite group . 
 there was no significant difference in the length of enamel cracks between the two groups ; but , in each group , a significant increase in the length of enamel cracks was noticeable after debonding . polishing 
 did not cause any statistically significant change in crack length . 
 the sbs of maxcem elite was significantly lower than that of transbond xt ( 95% confidence interval).conclusion : maxcem elite offers clinically acceptable bond strength and can thus be used as a routine adhesive for orthodontic purposes since it is less likely to damage the enamel . ",0.508,0.1882,0.2781,0.4492,0.3081
" sensitive skin syndrome ( sss ) is a common and challenging condition , yet little is known about its underlying pathophysiology . 
 patients with sss often present with subjective complaints of severe facial irritation , burning , and/or stinging after application of cosmetic products . 
 these complaints are out of proportion to the objective clinical findings . defined as a self - diagnosed condition lacking any specific objective findings 
 , sss is by definition difficult to quantify and , therefore , the scientific community has yet to identify an acceptable objective screening test . in this overview 
 we review recent epidemiological studies , present current thinking on the pathophysiology leading to sss , discuss the challenges sss presents , and recommend a commonsense approach to management . ",0.3731,0.1231,0.2141,0.3425,0.3619
" bilateral primary spontaneous pneumothorax ( bpsp ) is a rare condition , accounting for 1.6% of spontaneous pneumothoraces . 
 patients with primary spontaneous pneumothorax have typically low body weight . 
 bpsp in overweight / obese patients is an exceptionally rare event . 
 the present report describes a case of an otherwise - healthy 20-year - old male patient with bmi 29.8 kg / m2 presented to our hospital owing to low - intensity chest pain and shortness of breath 7 days after the onset of symptoms . 
 plain chest x - ray revealed the presence of bilateral pneumothorax . 
 chest tubes were inserted on both sides . during hospitalization , 
 a computed tomography demonstrated multiple blebs on the surface of the upper lobes of both lungs . 
 hereupon , the patient referred to a tertiary center and underwent elective single - stage minimally invasive bilateral video - assisted thoracoscopic surgery . 
 the present case report shows that bpsp in overweight / obese patients is an existing condition . ",0.4688,0.2209,0.2908,0.451,0.3511
" a few familial adenomatous polyposis studies have focused upon faecal sterols and bile acids but none has analysed the fecal content of fatty acids . 
 we report here findings of an observational study on 29 colectomized familial adenomatous polyposis patients that describe the fecal content of fatty acids , and relate this to the proportions of fatty acids and levels of cyclooxygenase mrna expression in duodenal biopsies , levels of serum lipoproteins , and diet . in the ileostomy group separately ( n = 12 ) , the fecal content of arachidonic acid was correlated negatively to the proportions of eicosapentaenoic acid and docosahexaenoic acid in duodenal biopsies . 
 total serum - cholesterol was negatively correlated to the fecal content of saturates and monounsaturates . 
 the fecal palmitoleic acid / palmitic acid ratio was positively correlated to the levels of cyclooxygease-2 expression in duodenal biopsies.in the ileal - pouch - anal anastomosis group separately ( n = 17 ) , significant correlations were found between the fecal contents of oleic acid , linoleic acid , and alpha - linolenic acid , and the proportions of myristic acid , oleic acid and eicosaenoic acid in duodenal biopsies . 
 dietary monounsaturates were positively correlated to different fecal fatty acids . 
 future studies should focus on molecular mechanisms relevant to fatty acid metabolism , inflammation , and angiogenesis , in addition to nutrition . ",0.416,0.1375,0.2336,0.359,0.2423
" objective : the objective of this study was to compare the pain levels on opposite sides of the maxilla at needle insertion during delivery of local anesthetic solution and tooth preparation for both conventional and anterior middle superior alveolar ( amsa ) technique with the wand computer - controlled local anesthesia application.material and methods : pain scores of 16 patients were evaluated with a 5-point verbal rating scale ( vrs ) and data were analyzed nonparametrically . 
 pain differences at needle insertion , during delivery of local anesthetic , and at tooth preparation , for conventional versus the wand technique , were analyzed using the mann - whitney u test ( p=0.01).results : the wand technique had a lower pain level compared to conventional injection for needle insertion ( p<0.01 ) . in the anesthetic delivery phase , pain level for the wand technique was lower ( p<0.01 ) . 
 however , there was no difference between the wand and conventional technique for pain level during tooth preparation ( p>0.05).conclusions;the amsa technique using the wand is recommended for prosthodontic treatment because it reduces pain during needle insertion and during delivery of local anaesthetic 
 . however , these two techniques have the same pain levels for tooth preparation . ",0.4968,0.2065,0.2398,0.3854,0.3281
" pulmonary rehabilitation is an effective treatment for people with chronic obstructive pulmonary disease . 
 however , access to these services is limited especially in rural and remote areas . 
 telerehabilitation has the potential to deliver pulmonary rehabilitation programs to these communities . 
 the aim of this study was threefold : to establish the technical feasibility of transmitting real - time pulse oximetry data , determine the validity of remote measurements compared to conventional face - to - face measures , and evaluate the participants ' perception of the usability of the technology . 
 thirty - seven healthy individuals participated in a single remote pulmonary rehabilitation exercise session , conducted using the ehab telerehabilitation system . 
 validity was assessed by comparing the participant 's oxygen saturation and heart rate with the data set received at the therapist 's remote location . 
 there was an 80% exact agreement between participant and therapist data sets . 
 the mean absolute difference and bland and altman 's limits of agreement fell within the minimum clinically important difference for both oxygen saturation and heart rate values . 
 participants found the system easy to use and felt confident that they would be able to use it at home . 
 remote measurement of pulse oximetry data for a pulmonary rehabilitation exercise session was feasible and valid when compared to conventional face - to - face methods . ",0.3632,0.1185,0.1792,0.3113,0.2304
" acute mountain sickness ( ams ) is a common clinical challenge at high altitude ( ha ) . a point - of - care biochemical marker for ams could have widespread utility . 
 neutrophil gelatinase - associated lipocalin ( ngal ) rises in response to renal injury , inflammation and oxidative stress . 
 we investigated whether ngal rises with ha and if this rise was related to ams , hypoxia or exercise . 
 ngal was assayed in a cohort ( n = 22 ) undertaking 6 hours exercise at near sea - level ( sl ) ; a cohort ( n = 14 ) during 3 hours of normobaric hypoxia ( fio2 11.6% ) and on two trekking expeditions ( n = 52 ) to over 5000  m. ngal did not change with exercise at sl or following normobaric hypoxia . during the trekking expeditions ngal levels ( ng / ml , mean  sd , range ) rose significantly ( p < 0.001 ) from 68  14 ( 60102 ) at 1300  m to 183  107 ( 65519 ) ; 143  66 ( 60315 ) and 150  71 ( 60357 ) at 3400  m , 4270  m and 5150  m respectively . 
 at 5150  m there was a significant difference in ngal between those with severe ams ( n = 7 ) , mild ams ( n = 16 ) or no ams ( n = 23 ) : 201  34 versus 171  19 versus 124  12 respectively ( p = 0.009 for severe versus no ams ; p = 0.026 for mild versus no ams ) . in summary , 
 ngal rises in response to prolonged hypobaric hypoxia and demonstrates a relationship to the presence and severity of ams . ",0.0991,0.0136,0.0631,0.0721,0.0612
" the 
 morphology and structure of 2,2:6,2-ternaphthalene 
 ( nnn ) deposited on muscovite mica(001 ) substrates was investigated 
 by scanning force microscopy ( sfm ) and specular x - ray diffraction 
 measurements . 
 consistently , both methods reveal the coexistence of 
 needle - like structures with a { 111 } contact plane and { 001 } orientated 
 island - like crystallites , which are built up by almost upright standing 
 nnn molecules . 
 both orientations are characterized by a well - defined 
 azimuthal alignment relative to the substrate surface , which is analyzed 
 by x - ray diffraction pole figure ( xrd - pf ) measurements . 
 based on xrd - pf 
 and sfm analysis , the azimuthal alignment of { 001 } orientated crystallites 
 is explained by ledge - directed epitaxy along the fibers sidewalls . 
 
 these fibers are found to orient along two dominant directions , which 
 is verified and explained by a doubling of the energetically preferred 
 molecular adsorption site by mirror symmetry of the substrate surface . 
 
 the experimental findings are confirmed by force - field simulations 
 and are discussed based on a recently reported growth model . ",0.3718,0.0903,0.1859,0.3654,0.2131
